Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),配件尺寸 (product.metafields.shopify.accessory-size),刀刃材质 (product.metafields.shopify.blade-material),刷子材质 (product.metafields.shopify.brush-material),清洁说明 (product.metafields.shopify.cleaning-instructions),清洁表面 (product.metafields.shopify.cleaning-surfaces),包括咖啡/茶具 (product.metafields.shopify.coffee-tea-set-pieces-included),颜色 (product.metafields.shopify.color-pattern),兼容的炉灶类型 (product.metafields.shopify.compatible-stove-top-type),炊具/烘焙用具材质 (product.metafields.shopify.cookware-bakeware-material),装饰品材质 (product.metafields.shopify.decoration-material),显示屏技术 (product.metafields.shopify.display-technology),饮具材质 (product.metafields.shopify.drinkware-material),干/湿洗 (product.metafields.shopify.dry-wet-cleaning),边缘样式 (product.metafields.shopify.edge-type),扁平餐具材质 (product.metafields.shopify.flatware-material),食品保鲜袋材质 (product.metafields.shopify.food-storage-material),手柄材质 (product.metafields.shopify.handle-material),手套材质 (product.metafields.shopify.handwear-material),包含厨房/餐厅家具用品 (product.metafields.shopify.kitchen-dining-furniture-items-included),材质 (product.metafields.shopify.material),安装五金件 (product.metafields.shopify.mounting-hardware),小票/收据纸特点 (product.metafields.shopify.receipt-paper-features),形状 (product.metafields.shopify.shape),吸管/搅拌器设计 (product.metafields.shopify.straw-stirrer-design),款式 (product.metafields.shopify.style),餐具材质 (product.metafields.shopify.tableware-material),主题 (product.metafields.shopify.theme),工具/用具材质 (product.metafields.shopify.tool-utensil-material),花瓶形状 (product.metafields.shopify.vase-shape),互补产品 (product.metafields.shopify--discovery--product_recommendation.complementary_products),相关产品 (product.metafields.shopify--discovery--product_recommendation.related_products),相关产品设置 (product.metafields.shopify--discovery--product_recommendation.related_products_display),搜索产品提升 (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
未核对盆栽56,未核对盆栽56,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3611758660857_.pic.jpg?v=1758666143,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
未核对盆栽55,未核对盆栽55,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3601758660855_.pic.jpg?v=1758666124,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
未核对盆栽54,未核对盆栽54,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3591758660853_.pic.jpg?v=1758666108,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
未核对盆栽53,未核对盆栽53,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3581758660851_.pic.jpg?v=1758666088,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
未核对盆栽52,未核对盆栽52,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3571758660844_.pic.jpg?v=1758666056,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
未核对盆栽51,未核对盆栽51,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3561758660842_.pic.jpg?v=1758666040,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
未核对盆栽50,未核对盆栽50,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3551758660840_.pic.jpg?v=1758666024,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
未核对盆栽49,未核对盆栽49,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3541758660838_.pic.jpg?v=1758665991,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
未核对盆栽48,未核对盆栽48,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3531758660837_.pic.jpg?v=1758665971,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
未核对盆栽47,未核对盆栽47,"",OMECA wholesale LTD.,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,"",bonsai,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,200.00,,true,true,,https://cdn.shopify.com/s/files/1/0634/2390/5840/files/3521758660835_.pic.jpg?v=1758665955,1,"",false,,,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
