Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,'294302711856,title,vi,,,Steamer,Tàu hơi nước
COLLECTION,'294302711856,title,zh-CN,,,Steamer,蒸笼
COLLECTION,'294302711856,body_html,vi,,,<p>Kitchen Ware</p>,<p>Đồ dùng nhà bếp</p>
COLLECTION,'294302711856,body_html,zh-CN,,,<p>Kitchen Ware</p>,<p>厨房用具</p>
COLLECTION,'294302711856,handle,vi,,,kitchen-ware,
COLLECTION,'294302711856,handle,zh-CN,,,kitchen-ware,
COLLECTION,'294302777392,title,vi,,,Cleaning Ware,Đồ dùng vệ sinh
COLLECTION,'294302777392,title,zh-CN,,,Cleaning Ware,清洁用具
COLLECTION,'294302777392,body_html,vi,,,<p>Cleaning Ware</p>,<p>Đồ dùng vệ sinh</p>
COLLECTION,'294302777392,body_html,zh-CN,,,<p>Cleaning Ware</p>,<p>清洁用具</p>
COLLECTION,'294302777392,handle,vi,,,cleaning-ware,
COLLECTION,'294302777392,handle,zh-CN,,,cleaning-ware,
COLLECTION,'294302810160,title,vi,,,Disposable,Dùng một lần
COLLECTION,'294302810160,title,zh-CN,,,Disposable,一次性消耗品
COLLECTION,'294302810160,body_html,vi,,,<p>Disposable</p>,<p>Dùng một lần</p>
COLLECTION,'294302810160,body_html,zh-CN,,,<p>Disposable</p>,<p>一次性</p>
COLLECTION,'294302810160,handle,vi,,,disposable,
COLLECTION,'294302810160,handle,zh-CN,,,disposable,
COLLECTION,'294312345648,title,vi,,,Kitchen Knife,Dao nhà bếp
COLLECTION,'294312345648,title,zh-CN,,,Kitchen Knife,菜刀
COLLECTION,'294312345648,body_html,vi,,,"",
COLLECTION,'294312345648,body_html,zh-CN,,,"",
COLLECTION,'294312345648,handle,vi,,,kitchen-knife,
COLLECTION,'294312345648,handle,zh-CN,,,kitchen-knife,
COLLECTION,'294312411184,title,vi,,,Wok,Chảo
COLLECTION,'294312411184,title,zh-CN,,,Wok,炒锅
COLLECTION,'294312411184,body_html,vi,,,"",
COLLECTION,'294312411184,body_html,zh-CN,,,"",
COLLECTION,'294312411184,handle,vi,,,wok,
COLLECTION,'294312411184,handle,zh-CN,,,wok,
COLLECTION,'294312443952,title,vi,,,Kitchen Ware,Đồ dùng nhà bếp
COLLECTION,'294312443952,title,zh-CN,,,Kitchen Ware,厨房用具
COLLECTION,'294312443952,body_html,vi,,,"",
COLLECTION,'294312443952,body_html,zh-CN,,,"",
COLLECTION,'294312443952,handle,vi,,,kitchen-ware-1,
COLLECTION,'294312443952,handle,zh-CN,,,kitchen-ware-1,
COLLECTION,'294312575024,title,vi,,,Featured,Nổi bật
COLLECTION,'294312575024,title,zh-CN,,,Featured,精选
COLLECTION,'294312575024,body_html,vi,,,"",
COLLECTION,'294312575024,body_html,zh-CN,,,"",
COLLECTION,'294312575024,handle,vi,,,featured,
COLLECTION,'294312575024,handle,zh-CN,,,featured,
COLLECTION,'294482083888,title,vi,,,Cups,Cốc
COLLECTION,'294482083888,title,zh-CN,,,Cups,杯子
COLLECTION,'294482083888,body_html,vi,,,"",
COLLECTION,'294482083888,body_html,zh-CN,,,"",
COLLECTION,'294482083888,handle,vi,,,cups,
COLLECTION,'294482083888,handle,zh-CN,,,cups,
COLLECTION,'294482640944,title,vi,,,Plate,Đĩa
COLLECTION,'294482640944,title,zh-CN,,,Plate,盘子
COLLECTION,'294482640944,body_html,vi,,,"",
COLLECTION,'294482640944,body_html,zh-CN,,,"",
COLLECTION,'294482640944,handle,vi,,,plate,
COLLECTION,'294482640944,handle,zh-CN,,,plate,
COLLECTION,'294502039600,title,vi,,,Eating utensils,Đồ dùng ăn uống
COLLECTION,'294502039600,title,zh-CN,,,Eating utensils,餐具
